ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,50105.42599694422,45,1125.2978850694524
2,Vidhyanagar Lohagaon,28919.22340223085,16,1824.470757423195
3,Tingre Pumping Station,25691.824424034585,24,1065.7728522643208
4,Kalas Vishrantwadi,28064.04227763481,45,615.9802282863552
5,Nanasaheb Parulekar Vidhyalaya,21026.993342793885,18,1176.8897785831657
6,Yerwada Prizen Press,29719.81849759737,28,1056.6342515055119
7,Lohagaon Vimantal,38449.03433855388,50,770.6832319211654
8,Kharadigaon,43153.66773277445,30,1444.5096991532378
9,Kharadi Infotech Park,27670.56798360524,19,1444.4618655955958
10,Sundrabai Marathe Vidhyalaya,27785.42608677572,18,1534.9817432096927
11,Vadgaon Sheri,37221.98588983162,16,2355.8690994887547
12,Ramwadi,29413.90929212352,29,1007.9283061355604
13,Agakhan Pallace,28739.5443893503,12,2393.321257174436
14,Don Bosco  Highschool,21019.032880197912,11,1921.446217921112
15,NagpurChawl,18981.1544556286,4,4716.257421606673
16,"PhuleNagar ,Yerwada",17881.473408441918,15,1196.0572030694364
17,Netaji Subhashchandra Bose Vidhyalaya,18183.970987088924,5,3607.0488704191753
18,Yerwadagaon,17012.645776538484,15,1142.0101072001132
19,Parnkuti,20130.872696275685,7,2915.095028594484
20,YerwadaHotmix Plant,20847.314329913333,0,23544.710855118836
21,Deccon Collage,20316.23775386765,19,1067.651043204876
22,Kamal Nayan Bajaj Udhyan,20550.502795977736,12,1732.8503791314897
23,Setki Mahavidhyalaya,17904.217587287556,20,893.230734132218
24,Sanjay Gandhi Rugnalya,20328.747052232746,18,1137.649512031538
25,Bopodi,18006.566392092936,8,2260.064068451402
26,Pune Vidhyapeeth,18468.273222659423,20,933.7166289256996
27,AundhGaon,20203.65406858173,13,1532.7957272424844
28,Baner-Balewadi,36358.8443026396,82,519.7956776608352
29,Sutarwadi,27286.191361113928,53,570.0058866193756
30,Pashan,27945.77254763748,40,677.304236937112
31,Aundh I.T.I,17291.261967397568,18,951.3157484677996
32,RajBhavan,20086.521547526685,34,609.4603158609336
33,Chaturshingi Mandir,22901.1136796746,8,2908.9970739441937
34,Model Colony,16935.315568463306,26,665.5533390536956
35,Morden Collage,16681.717974334424,17,989.104699798506
36,P.M.C Bhavan,14332.244299579846,38,474.7612271779655
37,Dr.Nayadu Hospital,17490.273532296913,2,9215.83727863833
38,Bundgarden,16030.097250406849,4,4020.2336197065733
39,Wadiya Collage,16429.257589147823,25,666.9769820630959
40,Koregaon Park,16699.913317410937,19,885.9377069957153
41,Mundhvagaon,21780.96287152684,38,561.0468567756745
42,Magarpatta Hadapsar,46548.236425486175,16,3038.017115182738
43,Hadapsar Indestrial Estate,33812.63348087023,13,2671.564998125619
44,Sent Patric Town,31219.79709246731,7,4513.27260664256
45,Vikas Nagar Ghorpadi,34142.42407413201,22,1541.2777317219543
46,Dr.Babasaheb Ambedkar Udhyan,16757.91097346732,25,675.7545350618672
47,Sasoon Hospital,16139.26930886592,20,825.8159295899779
48,Kamla Nehru Hospital,18695.71501111582,5,3819.810370763257
49,Juna Bazar,21266.944429615385,3,7487.284473672784
50,Kasba Ganpati,18130.52216680167,7,2683.4284560239694
51,Shanivarwada,15720.776418106148,12,1315.3349497145412
52,New English School(Ramanbaug),13956.96534862679,22,613.4701696711326
53,Fergussion Collage,18331.808149585584,22,844.1671528679663
54,Dr.Homi Baba Hospital,18980.017246686315,2,9528.049487413267
55,Gokhlenagar,16619.17148250892,13,1286.0076834127715
56,Vidhi Mahavidhyalaya,17317.417773070054,29,617.8183103851846
57,Shankarrao More Vidhyalaya,20542.542333381763,1,20950.84680108954
58,RamBaug Colony,23021.65782755649,17,1377.1754970384159
59,Kishkindhanagar,33103.015100886274,4,8357.028138572188
60,Ramkrishna Parmhance Nagar,21995.89536161813,12,1833.89461480957
61,Ved Bhavan,42655.57021605495,50,840.8204469778251
62,Mahatma Society -Kothrud,37579.069497708166,20,1852.788215455525
63,Wanaj Compani,21374.97927913217,10,2150.687674406993
64,Yashwantrao Chavan Natyagrha,22769.197442369885,13,1766.1343847098353
65,Idiol Colony,15011.15803812219,22,650.7224712159823
66,Dinanath Mangeshkar Rugnalaya,19431.48919677226,11,1764.4252622893816
67,Deccon Jimkhana,14680.230235918134,11,1365.741993936905
68,RajendraNagar,14395.928000347636,18,799.1603524464293
69,Vishrambaugwada,14144.604824103317,7,2051.0504367108315
70,Mahatama Phule Mandi,12227.270547415894,12,1022.572446631937
71,City Post,14489.179133614758,7,2075.618283515361
72,Ganeshpeth Gurudwara,16911.434180675384,12,1395.3634834389966
73,Tilak Aaurved Mahavidhyalaya,18141.894256224496,5,3607.0488704191753
74,Rajewadi,17724.538574407004,2,9295.8064715159
75,Harkanagar,17367.454966530462,4,4448.808800632418
76,Jonral Arunkumar vaidya Stedium,19848.84487858975,2,10061.349132923022
77,Doke Talim,19639.598433209863,7,2760.472458577508
78,Swami Samarth Mandir Ganesh peth,17054.722507402916,3,5932.267871556064
79,Dr.Kotnis Davakhana,15587.722971859155,7,2213.461168035993
80,Renuka Swarup Prashala,15519.490435322235,7,2213.461168035993
81,S.P.Collage,15091.89987302421,23,630.9071099458633
82,Subhashnagar,15950.49262444711,7,2246.750279984763
83,Ghorpade Udhyan,14268.560598812055,4,3656.9489046323774
84,Panch Houd Mission,20847.314329913333,1,20956.987560606944
85,Mahatma Phule Smark (Samata Bhumi),17840.53388651977,4,4670.204595813082
86,Lohianagar,21149.811908560343,0,23544.710855118836
87,Ekbote Colony,16644.19007923912,10,1679.3248837202589
88,Gurunanak Nagar,21028.13055173617,2,10585.278225896936
89,Wawadi Gaon,26939.342633717923,8,3457.4539460839355
90,Ramtekdi,23334.390286684036,0,23574.6430389445
91,Hadapsar Gaon,25435.95241202114,21,1192.6996653822662
92,Glayding Center,23323.01819726121,15,1534.245752493793
93,Sadhana Vidhylaya,32567.38968907146,20,1643.7045755635752
94,Satavwadi,24836.64329943853,2,12339.363274759027
95,Kaleborate Nagar,50949.23503211745,12,4216.445394528197
96,Mahamodwadi,50343.10266588115,37,1393.0913682340256
97,Mahadji Shinde Chatri,32400.219974556006,13,2450.591521048044
98,Salasbari Park,20823.43294212541,3,7480.046575838465
99,Tilak Maharashtra Vidhyapeeth,21008.79799971737,19,1122.2488808508517
100,Parvati Darshan,23061.46014053636,32,720.1633307889444
101,Parvatigaon,18637.71735505944,5,3819.810370763257
102,Paravati Jal kendra,16745.401675102217,5,3555.3542505248265
103,Dandekar Pul-Dattawadi,19025.505604377595,14,1387.6475642232358
104,Pu.La.Deshpande Udhyan,26609.552040456147,32,833.9807083649363
105,Mejor Thathwade Udhyan,20303.728455502544,26,772.7451762277092
106,Kothrud Gaon,22736.21838304371,8,2775.7275453219263
107,Happy Colony,21229.41653452008,5,4215.934169497291
108,Dahanukar Colony,14586.979102651012,13,1141.5636387940644
109,Warje Jal Shudhikaran Prakalpa,40258.33376572452,37,1106.7570530028322
110,Popularnagar Warje,44295.42551082556,47,943.2365697563229
111,Warje  Malwadi,29743.699885385297,0,24361.150553415984
112,Maharshi karve Nagar,27852.52141437036,2,14137.483222503377
113,Higne Steri Shikshan Sanstha,24985.617670877476,23,1103.5987544144523
114,Janta Vasahat,20428.82143915357,0,23544.710855118836
115,Shau Collage,18570.6220274648,10,1855.3702117932758
116,Parvati Industrial Estate,17095.662029325067,4,4342.555576283847
117,Maharshi Nagar,18219.224464299667,16,1142.910253333787
118,Chatrapati Shivaji Marketyard,21519.404814801987,7,3043.3345241301013
119,D.A.D Colony,25247.175727602327,13,1943.586001605489
120,Kondhva Khurd,28446.14448224155,8,3526.4301329124223
121,N.I.B.M,39730.66881650568,18,2230.8118002094093
122,Mithanagar,56136.04501786559,4,17132.646714759154
123,Bibvewadi,28192.546888112665,11,2571.7984043893666
124,Shankar Maharaj Math,23103.53687140079,7,3388.4525864163984
125,Padmavati -Areneshwar,23540.22510523707,6,3909.2491609936633
126,Taljai Mandir,21439.800188842244,15,1434.7526193982756
127,Anandnagar -Higne Khurd,29320.6581588564,2,14764.935822184394
128,Vitthalwadi,41030.49863753399,56,738.5026557569782
129,Vadgaon Dhayari,50808.22112327449,46,1116.9338098171402
130,Vadgaon Budruk,29426.41859048862,17,1737.530979200337
131,Manikbaug,23501.560001199487,5,4698.5447904130615
132,Chavannagar,30346.420624794748,7,4254.352872553554
133,Dhankawadi Ambegaon Pathar,27165.647213232038,9,3030.9759408774935
134,Dhankawadi Gaon,28598.530480507336,7,4046.0308209830614
135,Chaitanya Nagar Dhankawadi,17092.250402498223,8,2177.8645192981767
136,Balajinagar,22648.653294488,2,11236.720511755424
137,Sukhsagarnagar,35696.988698231486,14,2478.2789980277653
138,Vishwakarma Institute (Bibvewadi),18715.047563134613,4,4723.344613628232
139,Upper Indiranagar Bibvewadi,40401.62209245205,0,35674.535447025904
140,Kondhva Budrukh,51715.71385921551,47,1103.8532000418438
141,Katraj Gaon,46868.9293472097,46,1008.0838416695376
142,Rajiv Gandhi Pranisangrhalya,19408.745017926623,23,849.1762194404424
143,Bharti Vidhyapeeth,46555.05967913986,20,2359.3633421367017
144,Agam Mandir Katraj,30433.98571335046,34,892.1021689424264
