ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
81,S.P.Collage,23,0.9891660657658213,2021,16988.00198602985,cagr
82,Subhashnagar,7,0.48250835349308085,2021,17954.465816898097,cagr
83,Ghorpade Udhyan,4,0.2863058429935275,2021,16061.220776031687,cagr
84,Panch Houd Mission,1,0.19085098659965183,2021,23466.50986420761,cagr
85,Mahatma Phule Smark (Samata Bhumi),4,0.3712114543465353,2021,20081.966329352443,cagr
86,Lohianagar,0,0.12369455668204413,2021,23807.01235296384,cagr
87,Ekbote Colony,10,0.3595895646641352,2021,18735.317388857875,cagr
88,Gurunanak Nagar,2,0.22037248284296665,2021,23670.04330673483,cagr
89,Wawadi Gaon,8,2.0415128970956613,2021,30323.92276746749,cagr
90,Ramtekdi,0,2.4395280364667165,2021,26266.054762365042,cagr
91,Hadapsar Gaon,21,0.7952005835970511,2021,28631.65100003991,cagr
92,Glayding Center,15,1.5919119997327165,2021,26253.253916923077,cagr
93,Sadhana Vidhylaya,20,1.9980624344720295,2021,36659.061176695264,cagr
94,Satavwadi,2,0.6857926160187855,2021,27957.04644524843,cagr
95,Kaleborate Nagar,12,3.7610042739169907,2021,57350.34774908517,cagr
96,Mahamodwadi,37,9.37297015279776,2021,56668.06268702851,cagr
97,Mahadji Shinde Chatri,13,2.4598011490274962,2021,36470.888748698395,cagr
98,Salasbari Park,3,0.652153209520344,2021,23439.628088779486,cagr
99,Tilak Maharashtra Vidhyapeeth,19,0.7708325731486053,2021,23648.281869483493,cagr
100,Parvati Darshan,32,1.0303318112295212,2021,25958.834471757917,cagr
101,Parvatigaon,5,0.3672895938241417,2021,20979.305594834088,cagr
102,Paravati Jal kendra,5,0.4066644621392935,2021,18849.24491329135,cagr
103,Dandekar Pul-Dattawadi,14,0.2981122549980129,2021,21415.814424405045,cagr
104,Pu.La.Deshpande Udhyan,32,1.1390932693061566,2021,29952.698249650548,cagr
105,Mejor Thathwade Udhyan,26,1.3193484023514679,2021,22854.62945208175,cagr
106,Kothrud Gaon,8,0.9152036526045038,2021,25592.730292117758,cagr
107,Happy Colony,5,0.5775870205808963,2021,23896.618271057585,cagr
108,Dahanukar Colony,13,1.1087987147685938,2021,16419.644448406667,cagr
109,Warje Jal Shudhikaran Prakalpa,37,3.0198453356508868,2021,45316.27294909522,cagr
110,Popularnagar Warje,47,4.101959511702787,2021,49860.57308099229,cagr
111,Warje  Malwadi,0,1.9950722555755094,2021,33480.61125345571,cagr
112,Maharshi karve Nagar,2,1.635844975055324,2021,31351.83065645717,cagr
113,Higne Steri Shikshan Sanstha,23,0.6597310845454387,2021,28124.73752053815,cagr
114,Janta Vasahat,0,0.49749440022392893,2021,22995.43875194335,cagr
115,Shau Collage,10,0.7498490983814885,2021,20903.780606726505,cagr
116,Parvati Industrial Estate,4,0.7172989411723864,2021,19243.51095290383,cagr
117,Maharshi Nagar,16,1.0839399246815633,2021,20508.23448256983,cagr
118,Chatrapati Shivaji Marketyard,7,0.6404272345584302,2021,24223.039829827656,cagr
119,D.A.D Colony,13,2.4892163331875445,2021,28419.156965703314,cagr
120,Kondhva Khurd,8,2.2113895991294408,2021,32020.034788527664,cagr
121,N.I.B.M,18,2.985179419066149,2021,44722.313720588114,cagr
122,Mithanagar,4,1.8356244983343117,2021,63188.813355164755,cagr
123,Bibvewadi,11,2.236711481429142,2021,31734.575935171877,cagr
124,Shankar Maharaj Math,7,0.86464568920914,2021,26006.19759989318,cagr
125,Padmavati -Areneshwar,6,0.9752640708477103,2021,26497.750064864584,cagr
126,Taljai Mandir,15,1.4391136599231276,2021,24133.43391173391,cagr
127,Anandnagar -Higne Khurd,2,2.0833060610337593,2021,33004.419803014665,cagr
128,Vitthalwadi,56,2.2825443041815694,2021,46185.450354604545,cagr
129,Vadgaon Dhayari,46,5.640416551056436,2021,57191.61726560482,cagr
130,Vadgaon Budruk,17,2.1969413330860137,2021,33123.46766562492,cagr
131,Manikbaug,5,0.9170532726776326,2021,26454.227190361908,cagr
132,Chavannagar,7,1.1133117290635963,2021,34159.056061879775,cagr
133,Dhankawadi Ambegaon Pathar,9,0.7348615516078754,2021,30578.659591762567,cagr
134,Dhankawadi Gaon,7,0.5021894670379561,2021,32191.566117449976,cagr
135,Chaitanya Nagar Dhankawadi,8,0.46647041481775237,2021,19239.67069927124,cagr
136,Balajinagar,2,0.2830690532138939,2021,25494.16378221464,cagr
137,Sukhsagarnagar,14,0.896477634849471,2021,40181.85384232364,cagr
138,Vishwakarma Institute (Bibvewadi),4,0.456630408109772,2021,21066.35134383944,cagr
139,Upper Indiranagar Bibvewadi,0,0.8069825767790564,2021,45477.56360166396,cagr
140,Kondhva Budrukh,47,6.30890085146977,2021,58213.12473187351,cagr
141,Katraj Gaon,46,4.354854659744557,2021,52757.40440450864,cagr
142,Rajiv Gandhi Pranisangrhalya,23,1.1691917284035682,2021,21847.20291579922,cagr
143,Bharti Vidhyapeeth,20,2.1752284142763765,2021,52404.10107031045,cagr
144,Agam Mandir Katraj,34,3.1751319591382487,2021,34257.62257178289,cagr
