ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2030,70652.58254999999,rf
2,Vidhyanagar Lohagaon,16,3.59473216656065,2030,40842.47915000001,rf
3,Tingre Pumping Station,24,1.239124880276984,2030,35827.551925000094,rf
4,Kalas Vishrantwadi,45,5.614040603473604,2030,39280.3600749999,rf
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2030,29487.339199999966,rf
6,Yerwada Prizen Press,28,5.276719961460563,2030,41492.050874999935,rf
7,Lohagaon Vimantal,50,13.83277263943663,2030,53739.465724999995,rf
8,Kharadigaon,30,4.761967203615412,2030,60828.79412500016,rf
9,Kharadi Infotech Park,19,2.9569376526186595,2030,38875.4773000001,rf
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2030,38821.8215000001,rf
11,Vadgaon Sheri,16,1.5126387118357376,2030,52483.650450000016,rf
12,Ramwadi,29,1.8183727106671983,2030,41248.58210000001,rf
13,Agakhan Pallace,12,4.58290424869691,2030,40376.20482500002,rf
14,Don Bosco  Highschool,11,1.202557615248364,2030,29548.714799999972,rf
15,NagpurChawl,4,0.4213511114774019,2030,26593.48285000007,rf
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2030,25120.47642499992,rf
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.211623189510229,2030,25480.946425000016,rf
18,Yerwadagaon,15,0.3515840698570998,2030,23851.430625000008,rf
19,Parnkuti,7,0.3911478359424099,2030,28207.766399999964,rf
20,YerwadaHotmix Plant,0,0.2075370984845976,2030,29351.19797500004,rf
21,Deccon Collage,19,3.01163741043068,2030,28522.16482500001,rf
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2030,28741.214150000076,rf
23,Setki Mahavidhyalaya,20,2.661814064054194,2030,25131.912574999922,rf
24,Sanjay Gandhi Rugnalya,18,1.527588660160046,2030,28521.590625000063,rf
25,Bopodi,8,0.5453283685742135,2030,25223.13062499994,rf
26,Pune Vidhyapeeth,20,4.620466510043766,2030,25972.629100000002,rf
27,AundhGaon,13,1.0694773475540411,2030,28617.41025000004,rf
28,Baner-Balewadi,82,13.303951293487495,2030,50792.64739999994,rf
29,Sutarwadi,53,12.717127347406096,2030,38334.01467499991,rf
30,Pashan,40,4.080779717535515,2030,39150.279849999904,rf
31,Aundh I.T.I,18,2.539171918525782,2030,24214.891249999993,rf
32,RajBhavan,34,5.168393419326625,2030,28287.843374999982,rf
33,Chaturshingi Mandir,8,1.1419185308020572,2030,32190.74457499997,rf
34,Model Colony,26,1.4646198047466117,2030,23754.48652499997,rf
35,Morden Collage,17,1.395941986892558,2030,23379.821024999943,rf
36,P.M.C Bhavan,38,1.1414179414388097,2030,20280.337275000038,rf
37,Dr.Nayadu Hospital,2,1.3480075292749187,2030,24495.67504999999,rf
38,Bundgarden,4,0.7804556356850427,2030,22473.38252500006,rf
39,Wadiya Collage,25,1.2781866001536928,2030,23128.90359999994,rf
40,Koregaon Park,19,2.8716448156206607,2030,23382.444799999976,rf
41,Mundhvagaon,38,5.818015015263486,2030,30443.525750000008,rf
42,Magarpatta Hadapsar,16,3.4947159571684066,2030,65353.33860000011,rf
