ward_no,ward_name,population,bus_stop_count,predicted_demand
110,Popularnagar Warje,48688.75,47,1014.8629977963077
111,Warje  Malwadi,32693.75,0,29384.86900499993
112,Maharshi karve Nagar,30615.0,2,15553.491176388889
113,Higne Steri Shikshan Sanstha,27463.75,23,1189.3698614653724
114,Janta Vasahat,22455.0,0,28264.211565000005
115,Shau Collage,20412.5,10,2088.3562780691104
116,Parvati Industrial Estate,18791.25,4,4683.895003361117
117,Maharshi Nagar,20026.25,16,1252.4278832211455
118,Chatrapati Shivaji Marketyard,23653.75,7,3317.4053420979417
119,D.A.D Colony,27751.25,13,2139.6087788808445
120,Kondhva Khurd,31267.5,8,3712.2461961904787
121,N.I.B.M,43671.25,18,2422.5136951481177
122,Mithanagar,61703.75,4,19540.606527638898
123,Bibvewadi,30988.75,11,2832.6648802341124
124,Shankar Maharaj Math,25395.0,7,3647.92305725
125,Padmavati -Areneshwar,25875.0,6,4359.0877060059565
126,Taljai Mandir,23566.25,15,1545.929990528389
127,Anandnagar -Higne Khurd,32228.75,2,15937.635253888893
128,Vitthalwadi,45100.0,56,792.7912543011972
129,Vadgaon Dhayari,55847.5,46,1200.3501735986104
130,Vadgaon Budruk,32345.0,17,1874.8916082642468
131,Manikbaug,25832.5,5,5098.70997466667
132,Chavannagar,33356.25,7,4619.219264896783
133,Dhankawadi Ambegaon Pathar,29860.0,9,3304.775850150682
134,Dhankawadi Gaon,31435.0,7,4513.416849498016
135,Chaitanya Nagar Dhankawadi,18787.5,8,2386.6600825626706
136,Balajinagar,24895.0,2,12585.431084444426
137,Sukhsagarnagar,39237.5,14,2829.5642401666614
138,Vishwakarma Institute (Bibvewadi),20571.25,4,5145.791681694456
139,Upper Indiranagar Bibvewadi,44408.75,0,42557.230614166634
140,Kondhva Budrukh,56845.0,47,1199.9900043057444
141,Katraj Gaon,51517.5,46,1119.3660359305006
142,Rajiv Gandhi Pranisangrhalya,21333.75,23,914.2257324421811
143,Bharti Vidhyapeeth,51172.5,20,2614.4681869928067
144,Agam Mandir Katraj,33452.5,34,997.0305657582676
