ward_no,ward_name,population,bus_stop_count,predicted_demand
100,Parvati Darshan,25958.83447175792,32,804.491651505811
101,Parvatigaon,20979.305594834088,5,4313.77708923804
102,Paravati Jal kendra,18849.24491329135,5,3703.636175558068
103,Dandekar Pul-Dattawadi,21415.814424405045,14,1531.9625714956037
104,Pu.La.Deshpande Udhyan,29952.698249650548,32,936.5793604275214
105,Mejor Thathwade Udhyan,22854.62945208175,26,884.7228251208633
106,Kothrud Gaon,25592.73029211776,8,3240.7381798334923
107,Happy Colony,23896.618271057585,5,4715.11040787879
108,Dahanukar Colony,16419.644448406667,13,1271.2084174003191
109,Warje Jal Shudhikaran Prakalpa,45316.27294909522,37,1219.2047652820627
110,Popularnagar Warje,49860.57308099229,47,1063.0691674648722
111,Warje  Malwadi,33480.61125345571,0,29595.95372174669
112,Maharshi karve Nagar,31351.83065645717,2,15581.652607985618
113,Higne Steri Shikshan Sanstha,28124.73752053815,23,1210.4924509162688
114,Janta Vasahat,22995.43875194335,0,28573.4021119329
115,Shau Collage,20903.780606726505,10,2105.247514318603
116,Parvati Industrial Estate,19243.51095290383,4,4794.025278374941
117,Maharshi Nagar,20508.23448256983,16,1284.8737284565318
118,Chatrapati Shivaji Marketyard,24223.039829827656,7,3557.002723704425
119,D.A.D Colony,28419.156965703314,13,2206.3541514467584
120,Kondhva Khurd,32020.034788527664,8,4153.238823774653
121,N.I.B.M,44722.313720588114,18,2444.351933844305
122,Mithanagar,63188.81335516476,4,18375.171468485943
123,Bibvewadi,31734.57593517188,11,2880.350983354585
124,Shankar Maharaj Math,26006.19759989318,7,3649.333959969705
125,Padmavati -Areneshwar,26497.750064864584,6,4349.721746249845
126,Taljai Mandir,24133.43391173391,15,1645.156201943221
127,Anandnagar -Higne Khurd,33004.419803014665,2,16477.28099875814
128,Vitthalwadi,46185.45035460455,56,813.668268680759
129,Vadgaon Dhayari,57191.61726560482,46,1230.1028812441564
130,Vadgaon Budruk,33123.46766562492,17,1973.724286643122
131,Manikbaug,26454.227190361908,5,5397.838887715082
132,Chavannagar,34159.056061879775,7,4876.020336890897
133,Dhankawadi Ambegaon Pathar,30578.659591762567,9,3305.4631807263363
134,Dhankawadi Gaon,32191.566117449976,7,4596.450925298129
135,Chaitanya Nagar Dhankawadi,19239.67069927124,8,2443.223026999219
136,Balajinagar,25494.16378221464,2,12907.374871207461
137,Sukhsagarnagar,40181.85384232364,14,2880.6736865265398
138,Vishwakarma Institute (Bibvewadi),21066.35134383944,4,5488.51749110204
139,Upper Indiranagar Bibvewadi,45477.56360166396,0,42831.482382299015
140,Kondhva Budrukh,58213.12473187351,47,1232.0497369626594
141,Katraj Gaon,52757.40440450864,46,1134.090422024376
142,Rajiv Gandhi Pranisangrhalya,21847.20291579922,23,947.919066614238
143,Bharti Vidhyapeeth,52404.10107031045,20,2612.6843017963183
144,Agam Mandir Katraj,34257.62257178289,34,1009.2525312143688
