,,,,,,,,,,,,,,,,,,,,,,Area:- 243.84 Sq.km
ward_num,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward Office Name,ward_name,वॉर्डचे  नाांव
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,
28,8142,31972,16781,15191,2791,1415,1376,294,157,137,24888,13529,11359,7084,3252,3832,3995,2051,1944,Aundh,Baner-Balewadi,बार्`र  बाल`िाडी
29,6120,23994,12422,11572,2198,1137,1061,984,498,486,18960,10120,8840,5034,2302,2732,3002,1551,1451,Aundh,Sutarwadi,स¸तारिाडी
30,6017,24574,12618,11956,3542,1802,1740,426,222,204,17970,9585,8385,6604,3033,3571,3195,1656,1539,Aundh,Pashan,पाषार्
31,4158,15205,7573,7632,967,501,466,57,30,27,13462,6748,6714,1743,825,918,1121,572,549,Aundh,Aundh I.T.I,औांध  आय   ी  आय
32,4326,17663,8972,8691,4653,2321,2332,533,283,250,14724,7726,6998,2939,1246,1693,1567,808,759,Aundh,RajBhavan,राजभिन
33,4482,20138,10242,9896,2268,1130,1138,277,135,142,15712,8443,7269,4426,1799,2627,2072,1056,1016,Gholeroad,Chaturshingi Mandir,चत¸:श्ांरगी  मदीर
34,3541,14892,7386,7506,1650,838,812,117,66,51,13334,6641,6693,1558,745,813,931,514,417,Gholeroad,Model Colony,मॉड`ल  कॉलनी
35,3477,14669,7534,7135,938,530,408,237,141,96,13002,6748,6254,1667,786,881,1024,593,431,Gholeroad,Morden Collage,मॉडकन  कॉल`ज
36,2574,12603,6356,6247,2251,1124,1127,151,78,73,9729,5163,4566,2874,1193,1681,1071,543,528,Gholeroad,P.M.C Bhavan,प¸र्`  म.न.पा  भिन
37,3395,15380,7994,7386,5398,2718,2680,350,188,162,11391,6276,5115,3989,1718,2271,1751,918,833,Dholepatilroad,Dr.Nayadu Hospital,डॉ.नायडू  हॉस्स्प ल
38,3219,14096,7068,7028,4740,2362,2378,223,110,113,10696,5620,5076,3400,1448,1952,1289,670,619,Dholepatilroad,Bundgarden,बडगाडकन
39,3361,14447,7231,7216,2883,1420,1463,251,141,110,11595,5954,5641,2852,1277,1575,1322,693,629,Dholepatilroad,Wadiya Collage,िाडीया  कॉल`ज
40,3611,14685,7446,7239,2894,1468,1426,210,134,76,11341,5913,5428,3344,1533,1811,1370,701,669,Dholepatilroad,Koregaon Park,कोर`गाि  पाकक
41,4483,19153,9924,9229,2316,1162,1154,228,120,108,14664,7955,6709,4489,1969,2520,2316,1184,1132,Dholepatilroad,Mundhvagaon,म¸ढिागाि
42,11017,40932,21668,19264,3539,1833,1706,454,237,217,32053,17207,14846,8879,4461,4418,5136,2698,2438,Hadapsar,Magarpatta Hadapsar,मगरपट्टा  हडपसर
43,6787,29733,15435,14298,6898,3503,3395,398,204,194,20265,11355,8910,9468,4080,5388,4228,2170,2058,Hadapsar,Hadapsar Indestrial Estate,हडपसर  औद्योगगक  िसाहत
44,6437,27453,14289,13164,5893,2933,2960,289,158,131,21450,11616,9834,6003,2673,3330,3176,1649,1527,Hadapsar,Sent Patric Town,स   पटिक   ाऊन
45,7107,30023,15526,14497,5752,2866,2886,246,130,116,23933,12922,11011,6090,2604,3486,3213,1722,1491,Dholepatilroad,Vikas Nagar Ghorpadi,विकास  नगर  घोरपडी
46,3194,14736,7418,7318,1888,959,929,186,111,75,13011,6634,6377,1725,784,941,1034,536,498,Dholepatilroad,Dr.Babasaheb Ambedkar Udhyan,डॉ.बाबासाह`ब  आांब`डकर  उद्यान
47,3005,14192,7077,7115,2290,1137,1153,247,120,127,11580,5994,5586,2612,1083,1529,1391,703,688,Dholepatilroad,Sasoon Hospital,ससून  हॉस्स्प ल
48,3750,16440,8222,8218,1821,886,935,146,66,80,13880,7106,6774,2560,1116,1444,1501,804,697,Bhavanipeth,Kamla Nehru Hospital,कमला  नहरू  हॉस्स्प ल
49,3833,18701,9786,8915,4612,2312,2300,148,72,76,13792,7637,6155,4909,2149,2760,2076,1054,1022,Dholepatilroad,Juna Bazar,ज¸ना  बाझार
50,3848,15943,7943,8000,179,92,87,127,60,67,13838,6956,6882,2105,987,1118,1199,600,599,Kasbavishrambaug,Kasba Ganpati,कसबा  गर्पती
51,3780,13824,6772,7052,118,54,64,31,13,18,12475,6096,6379,1349,676,673,834,438,396,Kasbavishrambaug,Shanivarwada,शननिार  िाडा
52,3232,12273,6057,6216,122,65,57,305,160,145,10833,5366,5467,1440,691,749,720,360,360,Kasbavishrambaug,New English School(Ramanbaug),न्य¸  इांस्ग्लश  स्कूल  (रमर्बाग)
53,3531,16120,8238,7882,3003,1470,1533,219,105,114,13714,7267,6447,2406,971,1435,1228,660,568,Gholeroad,Fergussion Collage,फरग्य¸सकन  कॉल`ज
54,3681,16690,8393,8297,1809,933,876,117,65,52,11608,6435,5173,5082,1958,3124,1931,990,941,Gholeroad,Dr.Homi Baba Hospital,डॉ.होमी  भाभा  हॉस्स्प ल
55,3084,14614,7276,7338,1750,848,902,143,75,68,11197,5943,5254,3417,1333,2084,1486,764,722,Gholeroad,Gokhlenagar,गोखल`नगर
56,3910,15228,7453,7775,658,328,330,83,44,39,13565,6701,6864,1663,752,911,903,451,452,Gholeroad,Vidhi Mahavidhyalaya,विधी  महाविद्यालय
57,4298,18064,9316,8748,1845,939,906,169,90,79,13458,7358,6100,4606,1958,2648,1869,985,884,Kothrud,Shankarrao More Vidhyalaya,शकरराि  मोर`  विद्यालय
58,5282,20244,10557,9687,951,498,453,81,45,36,17496,9260,8236,2748,1297,1451,1500,797,703,Kothrud,RamBaug Colony,रामबाग  कॉलनी
