ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2030,55508.27781791551,logistic
2,Vidhyanagar Lohagaon,16,3.59473216656065,2030,32037.573874480055,logistic
3,Tingre Pumping Station,24,1.2391248802769839,2030,28462.16551208232,logistic
4,Kalas Vishrantwadi,45,5.614040603473604,2030,31090.178846811596,logistic
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2030,23294.327209561,logistic
6,Yerwada Prizen Press,28,5.276719961460563,2030,32924.49687910585,logistic
7,Lohagaon Vimantal,50,13.83277263943663,2030,42594.98123067914,logistic
8,Kharadigaon,30,4.761967203615412,2030,47806.91371666908,logistic
9,Kharadi Infotech Park,19,2.9569376526186595,2030,30654.27634737903,logistic
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2030,30781.519562531314,logistic
11,Vadgaon Sheri,16,1.5126387118357376,2030,41235.620546032515,logistic
12,Ramwadi,29,1.8183727106671983,2030,32585.601583304237,logistic
13,Agakhan Pallace,12,4.58290424869691,2030,31838.520131964608,logistic
14,Don Bosco  Highschool,11,1.202557615248364,2030,23285.508372867276,logistic
15,NagpurChawl,4,0.4213511114774019,2030,21027.88617927435,logistic
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2030,19809.626881727265,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.21162318951022907,2030,20144.742676088717,logistic
18,Yerwadagaon,15,0.3515840698570998,2030,18847.11384829814,logistic
19,Parnkuti,7,0.3911478359424099,2030,22301.57816461054,logistic
20,YerwadaHotmix Plant,0,0.20753709848459767,2030,23095.273467045554,logistic
21,Deccon Collage,19,3.0116374104306796,2030,22506.93107619293,logistic
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2030,22766.456841751045,logistic
23,Setki Mahavidhyalaya,20,2.661814064054194,2030,19834.823557995045,logistic
24,Sanjay Gandhi Rugnalya,18,1.5275886601600461,2030,22520.78924814021,logistic
25,Bopodi,8,0.5453283685742135,2030,19948.208601200047,logistic
26,Pune Vidhyapeeth,20,4.620466510043766,2030,20459.701129435947,logistic
27,AundhGaon,13,1.0694773475540413,2030,22382.20752866743,logistic
28,Baner-Balewadi,82,13.303951293487495,2030,40279.40668167033,logistic
29,Sutarwadi,53,12.717127347406096,2030,30228.452518453578,logistic
30,Pashan,40,4.080779717535515,2030,30959.156130219148,logistic
