ward_no,ward_name,population,bus_stop_count,area_sqkm,year,model
5,Nanasaheb Parulekar Vidhyalaya,18995.315902746,18,0.8663572188059991,2013,logistic
5,Nanasaheb Parulekar Vidhyalaya,19248.63978383496,18,0.8663572188059991,2014,logistic
5,Nanasaheb Parulekar Vidhyalaya,19502.303387989337,18,0.8663572188059991,2015,logistic
5,Nanasaheb Parulekar Vidhyalaya,19756.227990235013,18,0.8663572188059991,2016,logistic
5,Nanasaheb Parulekar Vidhyalaya,20010.334540288164,18,0.8663572188059991,2017,logistic
5,Nanasaheb Parulekar Vidhyalaya,20264.543760787008,18,0.8663572188059991,2018,logistic
5,Nanasaheb Parulekar Vidhyalaya,20518.776246125388,18,0.8663572188059991,2019,logistic
5,Nanasaheb Parulekar Vidhyalaya,20772.952561626502,18,0.8663572188059991,2020,logistic
5,Nanasaheb Parulekar Vidhyalaya,21026.993342793885,18,0.8663572188059991,2021,logistic
5,Nanasaheb Parulekar Vidhyalaya,21280.81939437604,18,0.8663572188059991,2022,logistic
5,Nanasaheb Parulekar Vidhyalaya,21534.351788982327,18,0.8663572188059991,2023,logistic
5,Nanasaheb Parulekar Vidhyalaya,21787.511964989437,18,0.8663572188059991,2024,logistic
5,Nanasaheb Parulekar Vidhyalaya,22040.2218234812,18,0.8663572188059991,2025,logistic
5,Nanasaheb Parulekar Vidhyalaya,22292.403823968823,18,0.8663572188059991,2026,logistic
5,Nanasaheb Parulekar Vidhyalaya,22543.98107864407,18,0.8663572188059991,2027,logistic
5,Nanasaheb Parulekar Vidhyalaya,22794.877444924557,18,0.8663572188059991,2028,logistic
5,Nanasaheb Parulekar Vidhyalaya,23045.017616058045,18,0.8663572188059991,2029,logistic
5,Nanasaheb Parulekar Vidhyalaya,23294.327209561,18,0.8663572188059991,2030,logistic
6,Yerwada Prizen Press,26133.999999999996,28,5.276719961460563,2011,logistic
6,Yerwada Prizen Press,26490.759554824494,28,5.276719961460563,2012,logistic
6,Yerwada Prizen Press,26848.21989196127,28,5.276719961460563,2013,logistic
6,Yerwada Prizen Press,27206.271071430114,28,5.276719961460563,2014,logistic
6,Yerwada Prizen Press,27564.80241977898,28,5.276719961460563,2015,logistic
6,Yerwada Prizen Press,27923.702666133144,28,5.276719961460563,2016,logistic
6,Yerwada Prizen Press,28282.860079821032,28,5.276719961460563,2017,logistic
6,Yerwada Prizen Press,28642.162609216208,28,5.276719961460563,2018,logistic
6,Yerwada Prizen Press,29001.49802143001,28,5.276719961460563,2019,logistic
6,Yerwada Prizen Press,29360.754042484965,28,5.276719961460563,2020,logistic
6,Yerwada Prizen Press,29719.81849759737,28,5.276719961460563,2021,logistic
