ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
91,Hadapsar Gaon,21,0.7952005835970511,2021,27958.75,rf
92,Glayding Center,15,1.5919119997327165,2021,25636.25,rf
93,Sadhana Vidhylaya,20,1.9980624344720292,2021,35797.5,rf
94,Satavwadi,2,0.6857926160187855,2021,27300.0,rf
95,Kaleborate Nagar,12,3.761004273916991,2021,56002.5,rf
96,Mahamodwadi,37,9.37297015279776,2021,55336.25,rf
97,Mahadji Shinde Chatri,13,2.459801149027496,2021,35613.75,rf
98,Salasbari Park,3,0.652153209520344,2021,22888.75,rf
99,Tilak Maharashtra Vidhyapeeth,19,0.7708325731486053,2021,23092.5,rf
100,Parvati Darshan,32,1.0303318112295212,2021,25348.75,rf
101,Parvatigaon,5,0.3672895938241417,2021,20486.25,rf
102,Paravati Jal kendra,5,0.4066644621392935,2021,18406.25,rf
103,Dandekar Pul-Dattawadi,14,0.2981122549980129,2021,20912.5,rf
104,Pu.La.Deshpande Udhyan,32,1.1390932693061566,2021,29248.75,rf
105,Mejor Thathwade Udhyan,26,1.319348402351468,2021,22317.5,rf
106,Kothrud Gaon,8,0.9152036526045038,2021,24991.25,rf
107,Happy Colony,5,0.5775870205808963,2021,23335.0,rf
108,Dahanukar Colony,13,1.1087987147685938,2021,16033.75,rf
109,Warje Jal Shudhikaran Prakalpa,37,3.0198453356508868,2021,44251.25,rf
110,Popularnagar Warje,47,4.101959511702787,2021,48688.75,rf
111,Warje  Malwadi,0,1.9950722555755092,2021,32693.75,rf
112,Maharshi karve Nagar,2,1.635844975055324,2021,30615.0,rf
113,Higne Steri Shikshan Sanstha,23,0.6597310845454387,2021,27463.75,rf
114,Janta Vasahat,0,0.4974944002239289,2021,22455.0,rf
115,Shau Collage,10,0.7498490983814885,2021,20412.5,rf
116,Parvati Industrial Estate,4,0.7172989411723864,2021,18791.25,rf
117,Maharshi Nagar,16,1.0839399246815633,2021,20026.25,rf
118,Chatrapati Shivaji Marketyard,7,0.6404272345584302,2021,23653.75,rf
119,D.A.D Colony,13,2.4892163331875445,2021,27751.25,rf
120,Kondhva Khurd,8,2.2113895991294408,2021,31267.5,rf
121,N.I.B.M,18,2.985179419066149,2021,43671.25,rf
122,Mithanagar,4,1.835624498334312,2021,61703.75,rf
123,Bibvewadi,11,2.236711481429142,2021,30988.75,rf
124,Shankar Maharaj Math,7,0.86464568920914,2021,25395.0,rf
125,Padmavati -Areneshwar,6,0.9752640708477104,2021,25875.0,rf
126,Taljai Mandir,15,1.4391136599231276,2021,23566.25,rf
127,Anandnagar -Higne Khurd,2,2.0833060610337597,2021,32228.75,rf
128,Vitthalwadi,56,2.2825443041815694,2021,45100.0,rf
129,Vadgaon Dhayari,46,5.640416551056436,2021,55847.5,rf
130,Vadgaon Budruk,17,2.1969413330860137,2021,32345.0,rf
131,Manikbaug,5,0.9170532726776326,2021,25832.5,rf
132,Chavannagar,7,1.1133117290635963,2021,33356.25,rf
133,Dhankawadi Ambegaon Pathar,9,0.7348615516078754,2021,29860.0,rf
134,Dhankawadi Gaon,7,0.5021894670379561,2021,31435.0,rf
135,Chaitanya Nagar Dhankawadi,8,0.4664704148177523,2021,18787.5,rf
136,Balajinagar,2,0.2830690532138939,2021,24895.0,rf
137,Sukhsagarnagar,14,0.896477634849471,2021,39237.5,rf
138,Vishwakarma Institute (Bibvewadi),4,0.456630408109772,2021,20571.25,rf
139,Upper Indiranagar Bibvewadi,0,0.8069825767790564,2021,44408.75,rf
140,Kondhva Budrukh,47,6.30890085146977,2021,56845.0,rf
141,Katraj Gaon,46,4.354854659744557,2021,51517.5,rf
142,Rajiv Gandhi Pranisangrhalya,23,1.1691917284035682,2021,21333.75,rf
143,Bharti Vidhyapeeth,20,2.1752284142763765,2021,51172.5,rf
144,Agam Mandir Katraj,34,3.1751319591382487,2021,33452.5,rf
