ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,63812.01721590671,45,1415.7997056281072
2,Vidhyanagar Lohagaon,36830.22237404693,16,2311.595834844734
3,Tingre Pumping Station,32719.95217752529,24,1362.44667225168
4,Kalas Vishrantwadi,35741.10215284035,45,798.758490637611
5,Nanasaheb Parulekar Vidhyalaya,26779.033098550048,18,1481.1890870888906
6,Yerwada Prizen Press,37849.8242832616,28,1357.6718860741953
7,Lohagaon Vimantal,48966.961009301085,50,984.0510924119958
8,Kharadigaon,54958.570524103765,30,1831.7798371490317
9,Kharadi Infotech Park,35239.990987232006,19,1844.254917276438
10,Sundrabai Marathe Vidhyalaya,35386.26910204831,18,2004.273077731135
11,Vadgaon Sheri,47404.247287649625,16,2956.6998956510033
12,Ramwadi,37460.23207647361,29,1283.559054087971
13,Agakhan Pallace,36601.39126374023,12,2972.3790545807133
14,Don Bosco  Highschool,26768.89501138456,11,2432.027760543304
15,NagpurChawl,24173.54469701995,4,5989.1923051627755
16,"PhuleNagar ,Yerwada",22773.040370016275,15,1520.9085029726868
17,Netaji Subhashchandra Bose Vidhyalaya,23158.287682304774,5,4637.858183677783
18,Yerwadagaon,21666.54057081172,15,1445.7867882298876
19,Parnkuti,25637.774143349536,7,3638.5010345171945
20,YerwadaHotmix Plant,26550.201988243345,0,28573.4021119329
21,Deccon Collage,25873.84674448873,19,1365.7802947819507
22,Kamal Nayan Bajaj Udhyan,26172.19616678734,12,2193.57004137085
23,Setki Mahavidhyalaya,22802.00633334624,20,1136.126161681123
24,Sanjay Gandhi Rugnalya,25889.778024320207,18,1434.3129110298112
25,Bopodi,22932.35316833107,8,2870.5338243424235
26,Pune Vidhyapeeth,23520.3622239293,20,1177.0155725715808
27,AundhGaon,25730.465226005414,13,2019.627056959945
28,Baner-Balewadi,46304.98897927756,82,660.3642496863887
29,Sutarwadi,34750.46620695564,53,685.7920181985452
30,Pashan,35590.47914352454,40,892.6761950814933
31,Aundh I.T.I,22021.37362160376,18,1217.1303034302198
32,RajBhavan,25581.29051485611,34,751.5137274764385
33,Chaturshingi Mandir,29165.82847693893,8,3638.0734417251824
34,Model Colony,21568.05629548985,26,824.8116119131621
35,Morden Collage,21245.08580436077,17,1250.808811396607
36,P.M.C Bhavan,18252.90179237568,38,570.3129513039459
37,Dr.Nayadu Hospital,22274.825800740924,2,11286.25691677176
38,Bundgarden,20415.210954957354,4,5178.856929089653
39,Wadiya Collage,20923.56361139819,25,830.2509890506648
40,Koregaon Park,21268.258575024734,19,1127.8725311664175
41,Mundhvagaon,27739.254782938293,38,735.9946715803602
42,Magarpatta Hadapsar,59281.74055110062,16,3688.262463995092
43,Hadapsar Indestrial Estate,43062.24938448829,13,3287.228382178756
44,Sent Patric Town,39760.1295648726,7,5624.31586097128
45,Vikas Nagar Ghorpadi,43482.255852772745,22,1994.367761053167
46,Dr.Babasaheb Ambedkar Udhyan,21342.121781516144,25,839.5738821945422
47,Sasoon Hospital,20554.247578941173,20,1030.3790085492556
48,Kamla Nehru Hospital,23810.021857228923,5,4707.496221651455
49,Juna Bazar,27084.62401168115,3,9585.471620481423
50,Kasba Ganpati,23090.217668479363,7,3307.337775547213
51,Shanivarwada,20021.273853669867,12,1662.2075153029025
52,New English School(Ramanbaug),17774.9633974313,22,761.3492959644226
53,Fergussion Collage,23346.566443949527,22,1063.0522830336483
54,Dr.Homi Baba Hospital,24172.09639885345,2,12112.206878143936
55,Gokhlenagar,21165.429405203373,13,1630.7886717883916
56,Vidhi Mahavidhyalaya,22054.684479433214,29,764.9323997008727
57,Shankarrao More Vidhyalaya,26162.058079621853,1,25219.33183708492
58,RamBaug Colony,29319.34808258773,17,1724.9667448941218
59,Kishkindhanagar,42158.51132859347,4,11131.086159257717
60,Ramkrishna Parmhance Nagar,28012.98313640644,12,2346.744273681346
61,Ved Bhavan,54324.2159271776,50,1078.7365652345227
62,Mahatma Society -Kothrud,47859.01291193003,20,2369.5333280428563
