ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2026,64229.62049999999,rf
2,Vidhyanagar Lohagaon,16,3.59473216656065,2026,37129.5265,rf
3,Tingre Pumping Station,24,1.239124880276984,2026,32570.501750000083,rf
4,Kalas Vishrantwadi,45,5.614040603473604,2026,35709.41824999991,rf
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2026,26806.671999999966,rf
6,Yerwada Prizen Press,28,5.276719961460563,2026,37720.04624999994,rf
7,Lohagaon Vimantal,50,13.83277263943663,2026,48854.05974999999,rf
8,Kharadigaon,30,4.761967203615412,2026,55298.90375000014,rf
9,Kharadi Infotech Park,19,2.9569376526186595,2026,35341.34300000009,rf
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2026,35292.56500000009,rf
11,Vadgaon Sheri,16,1.5126387118357376,2026,47712.40950000001,rf
12,Ramwadi,29,1.8183727106671983,2026,37498.711,rf
13,Agakhan Pallace,12,4.58290424869691,2026,36705.64075000002,rf
14,Don Bosco  Highschool,11,1.202557615248364,2026,26862.46799999997,rf
15,NagpurChawl,4,0.4213511114774019,2026,24175.89350000006,rf
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2026,22836.796749999925,rf
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.211623189510229,2026,23164.496750000013,rf
18,Yerwadagaon,15,0.3515840698570998,2026,21683.118750000005,rf
19,Parnkuti,7,0.3911478359424099,2026,25643.423999999966,rf
20,YerwadaHotmix Plant,0,0.2075370984845976,2026,26682.907250000033,rf
21,Deccon Collage,19,3.01163741043068,2026,25929.240750000008,rf
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2026,26128.376500000068,rf
23,Setki Mahavidhyalaya,20,2.661814064054194,2026,22847.193249999928,rf
24,Sanjay Gandhi Rugnalya,18,1.527588660160046,2026,25928.718750000055,rf
25,Bopodi,8,0.5453283685742135,2026,22930.118749999943,rf
26,Pune Vidhyapeeth,20,4.620466510043766,2026,23611.481,rf
27,AundhGaon,13,1.0694773475540411,2026,26015.827500000036,rf
28,Baner-Balewadi,82,13.303951293487495,2026,46175.13399999995,rf
29,Sutarwadi,53,12.717127347406096,2026,34849.10424999992,rf
30,Pashan,40,4.080779717535515,2026,35591.16349999991,rf
31,Aundh I.T.I,18,2.539171918525782,2026,22013.53749999999,rf
32,RajBhavan,34,5.168393419326625,2026,25716.22124999998,rf
33,Chaturshingi Mandir,8,1.1419185308020572,2026,29264.31324999997,rf
34,Model Colony,26,1.4646198047466117,2026,21594.98774999997,rf
35,Morden Collage,17,1.395941986892558,2026,21254.382749999946,rf
36,P.M.C Bhavan,38,1.1414179414388097,2026,18436.670250000032,rf
37,Dr.Nayadu Hospital,2,1.3480075292749187,2026,22268.79549999999,rf
38,Bundgarden,4,0.7804556356850427,2026,20430.34775000005,rf
39,Wadiya Collage,25,1.2781866001536928,2026,21026.275999999943,rf
40,Koregaon Park,19,2.8716448156206607,2026,21256.767999999975,rf
41,Mundhvagaon,38,5.818015015263486,2026,27675.932500000006,rf
42,Magarpatta Hadapsar,16,3.4947159571684066,2026,59412.1260000001,rf
43,Hadapsar Indestrial Estate,13,2.406516142321506,2026,42962.702499999876,rf
44,Sent Patric Town,7,1.1636347181869984,2026,39439.33299999991,rf
45,Vikas Nagar Ghorpadi,22,2.1741127650138,2026,43381.875749999854,rf
46,Dr.Babasaheb Ambedkar Udhyan,25,1.3472809821212115,2026,21201.189499999964,rf
47,Sasoon Hospital,20,0.7065481379789972,2026,20427.541999999958,rf
48,Kamla Nehru Hospital,5,0.2448279657218227,2026,23857.749000000003,rf
49,Juna Bazar,3,0.2939814574703364,2026,27102.77650000007,rf
50,Kasba Ganpati,7,0.2468392123304855,2026,23119.39450000002,rf
51,Shanivarwada,12,0.3953099558314417,2026,19929.263999999956,rf
52,New English School(Ramanbaug),22,0.4968417091453148,2026,18312.58650000002,rf
53,Fergussion Collage,22,1.3925295863792206,2026,23329.833000000006,rf
54,Dr.Homi Baba Hospital,2,0.2033194893328824,2026,24212.404500000015,rf
55,Gokhlenagar,13,0.652530203031312,2026,21212.87649999996,rf
56,Vidhi Mahavidhyalaya,29,2.358240557117262,2026,22045.451999999994,rf
57,Shankarrao More Vidhyalaya,1,0.9560685273717664,2026,26091.626250000034,rf
58,RamBaug Colony,17,1.062331287649967,2026,29377.746749999944,rf
59,Kishkindhanagar,4,1.3521602624869051,2026,42084.66224999988,rf
60,Ramkrishna Parmhance Nagar,12,1.996767417945225,2026,27788.735250000027,rf
61,Ved Bhavan,50,8.719064722193261,2026,54968.854750000086,rf
62,Mahatma Society -Kothrud,20,1.3645948083321595,2026,47928.53925000001,rf
63,Wanaj Compani,10,0.3781422401129699,2026,27175.624500000078,rf
64,Yashwantrao Chavan Natyagrha,13,0.5900851857480619,2026,29074.015250000022,rf
65,Idiol Colony,22,0.8774911291760036,2026,19056.277000000027,rf
66,Dinanath Mangeshkar Rugnalaya,11,1.212445720844982,2026,24846.083500000015,rf
67,Deccon Jimkhana,11,1.2702216330584255,2026,18542.346249999984,rf
68,RajendraNagar,18,0.7412252722569388,2026,18406.78574999997,rf
69,Vishrambaugwada,7,0.3491990708408639,2026,18238.06375000005,rf
70,Mahatama Phule Mandi,12,0.3165139074089365,2026,18257.34875000004,rf
71,City Post,7,0.2720189619866472,2026,18469.12850000005,rf
72,Ganeshpeth Gurudwara,12,0.2253846597283972,2026,21602.150750000048,rf
73,Tilak Aaurved Mahavidhyalaya,5,0.2853745079772576,2026,23128.500500000016,rf
74,Rajewadi,2,0.416122052207967,2026,22780.804999999997,rf
75,Harkanagar,4,0.2798248291097064,2026,22108.635749999983,rf
76,Jonral Arunkumar vaidya Stedium,2,0.2438026254044349,2026,25294.039249999943,rf
77,Doke Talim,7,0.1886772020863502,2026,25041.710249999975,rf
78,Swami Samarth Mandir Ganesh peth,3,0.2629814824548201,2026,21780.464499999984,rf
79,Dr.Kotnis Davakhana,7,0.2168603912598866,2026,19913.451749999964,rf
80,Renuka Swarup Prashala,7,0.3001494040456044,2026,19842.263999999963,rf
81,S.P.Collage,23,0.9891660657658212,2026,19253.58575000004,rf
82,Subhashnagar,7,0.4825083534930808,2026,20341.07125000003,rf
83,Ghorpade Udhyan,4,0.2863058429935275,2026,18472.60850000004,rf
84,Panch Houd Mission,1,0.1908509865996518,2026,26679.826000000034,rf
85,Mahatma Phule Smark (Samata Bhumi),4,0.3712114543465353,2026,22836.970749999997,rf
86,Lohianagar,0,0.1236945566820441,2026,26989.270500000028,rf
87,Ekbote Colony,10,0.3595895646641352,2026,21223.338250000033,rf
88,Gurunanak Nagar,2,0.2203724828429666,2026,26808.027750000074,rf
89,Wawadi Gaon,8,2.0415128970956613,2026,34386.80074999993,rf
90,Ramtekdi,0,2.4395280364667165,2026,29779.092249999932,rf
91,Hadapsar Gaon,21,0.7952005835970511,2026,32292.3410000001,rf
92,Glayding Center,15,1.5919119997327165,2026,29687.386999999933,rf
93,Sadhana Vidhylaya,20,1.9980624344720292,2026,41896.2347499999,rf
94,Satavwadi,2,0.6857926160187855,2026,31737.070750000028,rf
95,Kaleborate Nagar,12,3.761004273916991,2026,65275.592499999955,rf
96,Mahamodwadi,37,9.37297015279776,2026,64323.377500000104,rf
