ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,70436.52717970223,45,1539.8727305096863
2,Vidhyanagar Lohagaon,40653.674221058274,16,2542.93605116961
3,Tingre Pumping Station,36116.70499418594,24,1508.0394670080873
4,Kalas Vishrantwadi,39451.4892814501,45,882.5463009850841
5,Nanasaheb Parulekar Vidhyalaya,29559.041932653065,18,1661.1851456281313
6,Yerwada Prizen Press,41779.12395175528,28,1494.1223303414554
7,Lohagaon Vimantal,54050.36277679828,50,1078.7365652345227
8,Kharadigaon,60663.97859482888,30,1999.8432029607307
9,Kharadi Infotech Park,38898.35631721549,19,2058.2669778638974
10,Sundrabai Marathe Vidhyalaya,39059.81998596605,18,2190.7241601647206
11,Vadgaon Sheri,52325.41922648283,16,3251.146182175803
12,Ramwadi,41349.08705181566,29,1423.5613474570919
13,Agakhan Pallace,40401.0874917257,12,3293.4060418218924
14,Don Bosco  Highschool,29547.85138135352,11,2699.111124287201
15,NagpurChawl,26683.070248670218,4,6492.633299754967
16,"PhuleNagar ,Yerwada",25137.175519147477,15,1681.9135117417377
17,Netaji Subhashchandra Bose Vidhyalaya,25562.41646853015,5,5086.830960125091
18,Yerwadagaon,23915.80677731151,15,1627.529949760957
19,Parnkuti,28299.305586361523,7,4146.3031307550345
20,YerwadaHotmix Plant,29306.455203320496,0,29721.64186429595
21,Deccon Collage,28559.88556662234,19,1508.035184544119
22,Kamal Nayan Bajaj Udhyan,28889.207504866063,12,2396.4975131769834
23,Setki Mahavidhyalaya,25169.148522860454,20,1239.1760440526468
24,Sanjay Gandhi Rugnalya,28577.47071866448,18,1627.2478937705919
25,Bopodi,25313.02703956888,8,3240.7381798334923
26,Pune Vidhyapeeth,25962.079014942443,20,1286.2434409666494
27,AundhGaon,28401.619198243072,13,2206.3541514467584
28,Baner-Balewadi,51112.04373557511,82,687.6397187424308
29,Sutarwadi,38358.01255446607,53,726.4603304311305
30,Pashan,39285.229662142585,40,982.5833748482873
31,Aundh I.T.I,24307.47607279556,18,1367.0948243547368
32,RajBhavan,28236.958229121206,34,820.9715723588625
33,Chaturshingi Mandir,32193.61743860289,8,4153.238823774653
34,Model Colony,23807.09856468737,26,914.4260432325195
35,Morden Collage,23450.599573287607,17,1386.8510503468647
36,P.M.C Bhavan,20147.78828973643,38,606.0525814315035
37,Dr.Nayadu Hospital,24587.23985528416,2,12413.028062646701
38,Bundgarden,22534.573016910635,4,5641.204739104567
39,Wadiya Collage,23095.69923207349,25,918.3386495095982
40,Koregaon Park,23476.177976257997,19,1222.1301166896958
