ward_no,ward_name,population,bus_stop_count,predicted_demand
121,N.I.B.M,42121.6718441319,18,2360.0462324357504
122,Mithanagar,59514.3282835356,4,17368.213965984276
123,Bibvewadi,29889.18243374857,11,2720.3063262894702
124,Shankar Maharaj Math,24493.914336817237,7,3503.448556375002
125,Padmavati -Areneshwar,24956.88259362654,6,4133.441625471171
126,Taljai Mandir,22730.05350423387,15,1518.3104513066642
127,Anandnagar -Higne Khurd,31085.18376383928,2,15125.832036714446
128,Vitthalwadi,43499.725796040846,56,777.4265491603312
129,Vadgaon Dhayari,53865.87442116167,46,1170.9566816554534
130,Vadgaon Budruk,31197.30888853528,17,1837.237655252592
131,Manikbaug,24915.89061255488,5,4969.326105377837
132,Chavannagar,32172.6769087403,7,4570.589586764272
133,Dhankawadi Ambegaon Pathar,28800.483642345447,9,3055.271318799196
134,Dhankawadi Gaon,30319.598235000976,7,4254.352872553554
135,Chaitanya Nagar Dhankawadi,18120.86692667666,8,2264.9882094456184
136,Balajinagar,24011.65573597421,2,11860.470437067725
137,Sukhsagarnagar,37845.24370115638,14,2708.0748116741943
138,Vishwakarma Institute (Bibvewadi),19841.324485184152,4,4978.704906066713
139,Upper Indiranagar Bibvewadi,42833.00328037536,0,35674.535447025904
140,Kondhva Budrukh,54827.98032984351,47,1168.005835647761
141,Katraj Gaon,49689.51493786107,46,1068.7667909018198
142,Rajiv Gandhi Pranisangrhalya,20576.76885146977,23,892.995137914042
143,Bharti Vidhyapeeth,49356.75650327939,20,2458.7312533951354
144,Agam Mandir Katraj,32265.51168940258,34,944.4933086525326
