ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,70652.58254999999,45,1544.2105243849041
2,Vidhyanagar Lohagaon,40842.47915000001,16,2601.7348702194545
3,Tingre Pumping Station,35827.551925000094,24,1515.823108460901
4,Kalas Vishrantwadi,39280.3600749999,45,866.426067465825
5,Nanasaheb Parulekar Vidhyalaya,29487.33919999997,18,1666.608467667725
6,Yerwada Prizen Press,41492.050874999935,28,1445.576418473333
7,Lohagaon Vimantal,53739.465725,50,1074.6413289132786
8,Kharadigaon,60828.79412500016,30,1993.4564003522398
9,Kharadi Infotech Park,38875.4773000001,19,2069.2787059663306
10,Sundrabai Marathe Vidhyalaya,38821.8215000001,18,2176.837765270644
11,Vadgaon Sheri,52483.650450000016,16,3263.5911968022797
12,Ramwadi,41248.58210000001,29,1425.5603336881784
13,Agakhan Pallace,40376.20482500002,12,3287.772526814852
14,Don Bosco  Highschool,29548.71479999997,11,2693.5332674992032
15,NagpurChawl,26593.48285000007,4,6548.431966857159
16,"PhuleNagar ,Yerwada",25120.47642499992,15,1668.8704788481296
17,Netaji Subhashchandra Bose Vidhyalaya,25480.946425000016,5,5093.672580416671
18,Yerwadagaon,23851.430625000008,15,1630.5139084294879
19,Parnkuti,28207.766399999964,7,4146.0566496785705
20,YerwadaHotmix Plant,29351.19797500004,0,29498.287618333263
21,Deccon Collage,28522.16482500001,19,1515.521673224531
22,Kamal Nayan Bajaj Udhyan,28741.21415000008,12,2382.6768070923613
23,Setki Mahavidhyalaya,25131.91257499992,20,1235.5489822487878
24,Sanjay Gandhi Rugnalya,28521.590625000063,18,1631.9796844732818
25,Bopodi,25223.13062499994,8,3260.5882075429176
26,Pune Vidhyapeeth,25972.6291,20,1312.281041738457
27,AundhGaon,28617.41025000004,13,2207.3611092474875
28,Baner-Balewadi,50792.64739999994,82,690.4311619377504
29,Sutarwadi,38334.01467499991,53,728.4029332681883
30,Pashan,39150.279849999904,40,986.1019477931449
31,Aundh I.T.I,24214.891249999997,18,1359.472069497509
32,RajBhavan,28287.843374999982,34,825.5403210270969
33,Chaturshingi Mandir,32190.74457499997,8,4150.449496142854
34,Model Colony,23754.48652499997,26,909.3417447236249
35,Morden Collage,23379.821024999943,17,1379.8187041129984
36,P.M.C Bhavan,20280.33727500004,38,618.3562464940499
37,Dr.Nayadu Hospital,24495.67504999999,2,12332.628772222246
38,Bundgarden,22473.38252500006,4,5644.885651702376
39,Wadiya Collage,23128.90359999994,25,913.7940689839295
40,Koregaon Park,23382.444799999976,19,1215.4823452530445
41,Mundhvagaon,30443.525750000008,38,795.7209955662555
42,Magarpatta Hadapsar,65353.33860000011,16,4201.612687226647
