ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2026,63812.01721590671,cagr
2,Vidhyanagar Lohagaon,16,3.59473216656065,2026,36830.22237404693,cagr
3,Tingre Pumping Station,24,1.2391248802769839,2026,32719.95217752529,cagr
4,Kalas Vishrantwadi,45,5.614040603473604,2026,35741.10215284035,cagr
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2026,26779.033098550048,cagr
6,Yerwada Prizen Press,28,5.276719961460563,2026,37849.824283261594,cagr
7,Lohagaon Vimantal,50,13.83277263943663,2026,48966.961009301085,cagr
8,Kharadigaon,30,4.761967203615412,2026,54958.570524103765,cagr
9,Kharadi Infotech Park,19,2.9569376526186595,2026,35239.990987232006,cagr
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2026,35386.26910204831,cagr
11,Vadgaon Sheri,16,1.5126387118357376,2026,47404.247287649625,cagr
12,Ramwadi,29,1.8183727106671983,2026,37460.23207647361,cagr
13,Agakhan Pallace,12,4.58290424869691,2026,36601.391263740225,cagr
14,Don Bosco  Highschool,11,1.202557615248364,2026,26768.89501138456,cagr
15,NagpurChawl,4,0.4213511114774019,2026,24173.54469701995,cagr
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2026,22773.040370016275,cagr
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.21162318951022907,2026,23158.287682304774,cagr
18,Yerwadagaon,15,0.3515840698570998,2026,21666.54057081172,cagr
19,Parnkuti,7,0.3911478359424099,2026,25637.774143349536,cagr
20,YerwadaHotmix Plant,0,0.20753709848459767,2026,26550.201988243345,cagr
21,Deccon Collage,19,3.0116374104306796,2026,25873.84674448873,cagr
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2026,26172.19616678734,cagr
23,Setki Mahavidhyalaya,20,2.661814064054194,2026,22802.00633334624,cagr
24,Sanjay Gandhi Rugnalya,18,1.5275886601600461,2026,25889.778024320207,cagr
25,Bopodi,8,0.5453283685742135,2026,22932.35316833107,cagr
26,Pune Vidhyapeeth,20,4.620466510043766,2026,23520.3622239293,cagr
27,AundhGaon,13,1.0694773475540413,2026,25730.465226005414,cagr
28,Baner-Balewadi,82,13.303951293487495,2026,46304.98897927756,cagr
29,Sutarwadi,53,12.717127347406096,2026,34750.46620695564,cagr
30,Pashan,40,4.080779717535515,2026,35590.47914352454,cagr
31,Aundh I.T.I,18,2.539171918525782,2026,22021.373621603758,cagr
32,RajBhavan,34,5.168393419326625,2026,25581.29051485611,cagr
33,Chaturshingi Mandir,8,1.1419185308020572,2026,29165.828476938932,cagr
34,Model Colony,26,1.4646198047466115,2026,21568.05629548985,cagr
35,Morden Collage,17,1.395941986892558,2026,21245.08580436077,cagr
36,P.M.C Bhavan,38,1.1414179414388097,2026,18252.901792375676,cagr
37,Dr.Nayadu Hospital,2,1.3480075292749187,2026,22274.825800740924,cagr
38,Bundgarden,4,0.7804556356850427,2026,20415.210954957354,cagr
39,Wadiya Collage,25,1.2781866001536928,2026,20923.56361139819,cagr
40,Koregaon Park,19,2.8716448156206607,2026,21268.258575024738,cagr
41,Mundhvagaon,38,5.818015015263486,2026,27739.254782938293,cagr
42,Magarpatta Hadapsar,16,3.4947159571684066,2026,59281.74055110062,cagr
43,Hadapsar Indestrial Estate,13,2.406516142321506,2026,43062.24938448829,cagr
44,Sent Patric Town,7,1.1636347181869984,2026,39760.1295648726,cagr
45,Vikas Nagar Ghorpadi,22,2.1741127650138,2026,43482.255852772745,cagr
46,Dr.Babasaheb Ambedkar Udhyan,25,1.3472809821212117,2026,21342.121781516144,cagr
47,Sasoon Hospital,20,0.7065481379789972,2026,20554.247578941173,cagr
48,Kamla Nehru Hospital,5,0.24482796572182278,2026,23810.021857228923,cagr
49,Juna Bazar,3,0.29398145747033644,2026,27084.62401168115,cagr
50,Kasba Ganpati,7,0.24683921233048559,2026,23090.217668479363,cagr
51,Shanivarwada,12,0.39530995583144174,2026,20021.273853669867,cagr
52,New English School(Ramanbaug),22,0.4968417091453148,2026,17774.9633974313,cagr
53,Fergussion Collage,22,1.3925295863792206,2026,23346.566443949527,cagr
54,Dr.Homi Baba Hospital,2,0.20331948933288244,2026,24172.09639885345,cagr
