ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
81,S.P.Collage,23,0.9891660657658213,2021,15091.89987302421,logistic
82,Subhashnagar,7,0.48250835349308085,2021,15950.49262444711,logistic
83,Ghorpade Udhyan,4,0.2863058429935275,2021,14268.560598812055,logistic
84,Panch Houd Mission,1,0.19085098659965183,2021,20847.314329913333,logistic
85,Mahatma Phule Smark (Samata Bhumi),4,0.3712114543465353,2021,17840.53388651977,logistic
86,Lohianagar,0,0.12369455668204413,2021,21149.811908560343,logistic
87,Ekbote Colony,10,0.3595895646641352,2021,16644.19007923912,logistic
88,Gurunanak Nagar,2,0.22037248284296665,2021,21028.13055173617,logistic
89,Wawadi Gaon,8,2.0415128970956613,2021,26939.342633717923,logistic
90,Ramtekdi,0,2.4395280364667165,2021,23334.390286684033,logistic
91,Hadapsar Gaon,21,0.7952005835970511,2021,25435.95241202114,logistic
92,Glayding Center,15,1.5919119997327165,2021,23323.01819726121,logistic
93,Sadhana Vidhylaya,20,1.9980624344720295,2021,32567.38968907146,logistic
94,Satavwadi,2,0.6857926160187855,2021,24836.643299438532,logistic
95,Kaleborate Nagar,12,3.7610042739169907,2021,50949.23503211745,logistic
96,Mahamodwadi,37,9.37297015279776,2021,50343.10266588115,logistic
97,Mahadji Shinde Chatri,13,2.4598011490274962,2021,32400.219974556006,logistic
98,Salasbari Park,3,0.652153209520344,2021,20823.43294212541,logistic
99,Tilak Maharashtra Vidhyapeeth,19,0.7708325731486053,2021,21008.797999717375,logistic
100,Parvati Darshan,32,1.0303318112295212,2021,23061.460140536357,logistic
101,Parvatigaon,5,0.3672895938241417,2021,18637.717355059438,logistic
102,Paravati Jal kendra,5,0.4066644621392935,2021,16745.401675102217,logistic
103,Dandekar Pul-Dattawadi,14,0.2981122549980129,2021,19025.505604377595,logistic
104,Pu.La.Deshpande Udhyan,32,1.1390932693061566,2021,26609.552040456147,logistic
105,Mejor Thathwade Udhyan,26,1.3193484023514679,2021,20303.728455502544,logistic
106,Kothrud Gaon,8,0.9152036526045038,2021,22736.21838304371,logistic
107,Happy Colony,5,0.5775870205808963,2021,21229.416534520078,logistic
108,Dahanukar Colony,13,1.1087987147685938,2021,14586.979102651012,logistic
109,Warje Jal Shudhikaran Prakalpa,37,3.0198453356508868,2021,40258.33376572452,logistic
110,Popularnagar Warje,47,4.101959511702787,2021,44295.42551082556,logistic
111,Warje  Malwadi,0,1.9950722555755094,2021,29743.699885385297,logistic
112,Maharshi karve Nagar,2,1.635844975055324,2021,27852.521414370356,logistic
113,Higne Steri Shikshan Sanstha,23,0.6597310845454387,2021,24985.617670877473,logistic
114,Janta Vasahat,0,0.49749440022392893,2021,20428.821439153566,logistic
115,Shau Collage,10,0.7498490983814885,2021,18570.6220274648,logistic
116,Parvati Industrial Estate,4,0.7172989411723864,2021,17095.662029325067,logistic
117,Maharshi Nagar,16,1.0839399246815633,2021,18219.224464299667,logistic
118,Chatrapati Shivaji Marketyard,7,0.6404272345584302,2021,21519.404814801987,logistic
119,D.A.D Colony,13,2.4892163331875445,2021,25247.175727602327,logistic
120,Kondhva Khurd,8,2.2113895991294408,2021,28446.14448224155,logistic
121,N.I.B.M,18,2.985179419066149,2021,39730.66881650568,logistic
122,Mithanagar,4,1.8356244983343117,2021,56136.04501786559,logistic
123,Bibvewadi,11,2.236711481429142,2021,28192.546888112665,logistic
124,Shankar Maharaj Math,7,0.86464568920914,2021,23103.53687140079,logistic
125,Padmavati -Areneshwar,6,0.9752640708477103,2021,23540.22510523707,logistic
126,Taljai Mandir,15,1.4391136599231276,2021,21439.800188842244,logistic
127,Anandnagar -Higne Khurd,2,2.0833060610337593,2021,29320.658158856397,logistic
128,Vitthalwadi,56,2.2825443041815694,2021,41030.49863753399,logistic
129,Vadgaon Dhayari,46,5.640416551056436,2021,50808.22112327449,logistic
130,Vadgaon Budruk,17,2.1969413330860137,2021,29426.41859048862,logistic
131,Manikbaug,5,0.9170532726776326,2021,23501.560001199487,logistic
132,Chavannagar,7,1.1133117290635963,2021,30346.420624794748,logistic
133,Dhankawadi Ambegaon Pathar,9,0.7348615516078754,2021,27165.647213232034,logistic
134,Dhankawadi Gaon,7,0.5021894670379561,2021,28598.530480507336,logistic
135,Chaitanya Nagar Dhankawadi,8,0.46647041481775237,2021,17092.250402498223,logistic
136,Balajinagar,2,0.2830690532138939,2021,22648.653294488,logistic
137,Sukhsagarnagar,14,0.896477634849471,2021,35696.988698231486,logistic
138,Vishwakarma Institute (Bibvewadi),4,0.456630408109772,2021,18715.047563134613,logistic
139,Upper Indiranagar Bibvewadi,0,0.8069825767790564,2021,40401.62209245205,logistic
140,Kondhva Budrukh,47,6.30890085146977,2021,51715.71385921551,logistic
141,Katraj Gaon,46,4.354854659744557,2021,46868.9293472097,logistic
142,Rajiv Gandhi Pranisangrhalya,23,1.1691917284035682,2021,19408.745017926623,logistic
143,Bharti Vidhyapeeth,20,2.1752284142763765,2021,46555.059679139864,logistic
144,Agam Mandir Katraj,34,3.1751319591382487,2021,30433.98571335046,logistic
