ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2026,53120.784882859196,logistic
2,Vidhyanagar Lohagaon,16,3.59473216656065,2026,30659.590548595308,logistic
3,Tingre Pumping Station,24,1.2391248802769839,2026,27237.965775614044,logistic
4,Kalas Vishrantwadi,45,5.614040603473604,2026,29752.944379010423,logistic
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2026,22292.403823968823,logistic
6,Yerwada Prizen Press,28,5.276719961460563,2026,31508.36568607903,logistic
7,Lohagaon Vimantal,50,13.83277263943663,2026,40762.90823625668,logistic
8,Kharadigaon,30,4.761967203615412,2026,45750.66781547567,logistic
9,Kharadi Infotech Park,19,2.9569376526186595,2026,29335.790689281206,logistic
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2026,29457.56098599407,logistic
11,Vadgaon Sheri,16,1.5126387118357376,2026,39462.01566048262,logistic
12,Ramwadi,29,1.8183727106671983,2026,31184.0467770121,logistic
13,Agakhan Pallace,12,4.58290424869691,2026,30469.098401262312,logistic
14,Don Bosco  Highschool,11,1.202557615248364,2026,22283.964298454073,logistic
15,NagpurChawl,4,0.4213511114774019,2026,20123.445766677323,logistic
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2026,18957.585599139307,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.21162318951022907,2026,19278.28756869992,logistic
18,Yerwadagaon,15,0.3515840698570998,2026,18036.471671529132,logistic
19,Parnkuti,7,0.3911478359424099,2026,21342.35438030807,logistic
20,YerwadaHotmix Plant,0,0.20753709848459767,2026,22101.91167663583,logistic
21,Deccon Collage,19,3.0116374104306796,2026,21538.8747601516,logistic
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2026,21787.237939585757,logistic
23,Setki Mahavidhyalaya,20,2.661814064054194,2026,18981.69852918146,logistic
24,Sanjay Gandhi Rugnalya,18,1.5275886601600461,2026,21552.136871674782,logistic
25,Bopodi,8,0.5453283685742135,2026,19090.206714371143,logistic
26,Pune Vidhyapeeth,20,4.620466510043766,2026,19579.699194226814,logistic
27,AundhGaon,13,1.0694773475540413,2026,21419.515756442954,logistic
28,Baner-Balewadi,82,13.303951293487495,2026,38546.92996538298,logistic
29,Sutarwadi,53,12.717127347406096,2026,28928.28217156885,logistic
30,Pashan,40,4.080779717535515,2026,29627.557142791236,logistic
31,Aundh I.T.I,18,2.539171918525782,2026,18331.855064545485,logistic
32,RajBhavan,34,5.168393419326625,2026,21295.334166725872,logistic
33,Chaturshingi Mandir,8,1.1419185308020572,2026,24279.30925944209,logistic
34,Model Colony,26,1.4646198047466115,2026,17954.487709385816,logistic
35,Morden Collage,17,1.395941986892558,2026,17685.62853941583,logistic
36,P.M.C Bhavan,38,1.1414179414388097,2026,15194.762866061608,logistic
37,Dr.Nayadu Hospital,2,1.3480075292749187,2026,18542.843202414308,logistic
38,Bundgarden,4,0.7804556356850427,2026,16994.7930937082,logistic
39,Wadiya Collage,25,1.2781866001536928,2026,17417.97501594795,logistic
40,Koregaon Park,19,2.8716448156206607,2026,17704.91888344955,logistic
41,Mundhvagaon,38,5.818015015263486,2026,23091.74745486614,logistic
42,Magarpatta Hadapsar,16,3.4947159571684066,2026,49349.52262426674,logistic
43,Hadapsar Indestrial Estate,13,2.406516142321506,2026,35847.48744716415,logistic
44,Sent Patric Town,7,1.1636347181869984,2026,33098.61342235891,logistic
45,Vikas Nagar Ghorpadi,22,2.1741127650138,2026,36197.12493277534,logistic
46,Dr.Babasaheb Ambedkar Udhyan,25,1.3472809821212117,2026,17766.406855057037,logistic
47,Sasoon Hospital,20,0.7065481379789972,2026,17110.535157910523,logistic
48,Kamla Nehru Hospital,5,0.24482796572182278,2026,19820.828494648325,logistic
49,Juna Bazar,3,0.29398145747033644,2026,22546.795235913523,logistic
50,Kasba Ganpati,7,0.24683921233048559,2026,19221.622183100866,logistic
51,Shanivarwada,12,0.39530995583144174,2026,16666.857245134943,logistic
52,New English School(Ramanbaug),22,0.4968417091453148,2026,14796.89952036611,logistic
53,Fergussion Collage,22,1.3925295863792206,2026,19435.021613973906,logistic
54,Dr.Homi Baba Hospital,2,0.20331948933288244,2026,20122.240120175215,logistic
55,Gokhlenagar,13,0.652530203031312,2026,17619.317981799915,logistic
56,Vidhi Mahavidhyalaya,29,2.358240557117262,2026,18359.58493409396,logistic
57,Shankarrao More Vidhyalaya,1,0.9560685273717663,2026,21778.798414071007,logistic
58,RamBaug Colony,17,1.0623312876499673,2026,24407.107788665493,logistic
59,Kishkindhanagar,4,1.3521602624869051,2026,35095.16402984903,logistic
60,Ramkrishna Parmhance Nagar,12,1.996767417945225,2026,23319.614643764467,logistic
61,Ved Bhavan,50,8.719064722193261,2026,45222.594647552556,logistic
62,Mahatma Society -Kothrud,20,1.3645948083321595,2026,39840.5886621444,logistic
63,Wanaj Compani,10,0.3781422401129699,2026,22661.331653613743,logistic
64,Yashwantrao Chavan Natyagrha,13,0.5900851857480619,2026,24139.45426519761,logistic
65,Idiol Colony,22,0.8774911291760036,2026,15914.533827819821,logistic
66,Dinanath Mangeshkar Rugnalaya,11,1.212445720844982,2026,20600.881781511915,logistic
67,Deccon Jimkhana,11,1.2702216330584255,2026,15563.690695706522,logistic
68,RajendraNagar,18,0.7412252722569388,2026,15262.27907017963,logistic
69,Vishrambaugwada,7,0.34919907084086393,2026,14995.831193213859,logistic
70,Mahatama Phule Mandi,12,0.31651390740893653,2026,12963.11119066051,logistic
71,City Post,7,0.27201896198664727,2026,15361.14208335245,logistic
72,Ganeshpeth Gurudwara,12,0.22538465972839727,2026,17929.169132841558,logistic
73,Tilak Aaurved Mahavidhyalaya,5,0.28537450797725766,2026,19233.678648121942,logistic
74,Rajewadi,2,0.41612205220796705,2026,18791.206381848464,logistic
75,Harkanagar,4,0.27982482910970646,2026,18412.63338018669,logistic
76,Jonral Arunkumar vaidya Stedium,2,0.24380262540443495,2026,21043.35404778539,logistic
77,Doke Talim,7,0.18867720208635028,2026,20821.5150913976,logistic
78,Swami Samarth Mandir Ganesh peth,3,0.2629814824548201,2026,18081.08059210711,logistic
79,Dr.Kotnis Davakhana,7,0.21686039125988665,2026,16525.796604388357,logistic
80,Renuka Swarup Prashala,7,0.3001494040456044,2026,16453.457814261903,logistic
81,S.P.Collage,23,0.9891660657658213,2026,16000.134729469457,logistic
82,Subhashnagar,7,0.48250835349308085,2026,16910.397838560668,logistic
83,Ghorpade Udhyan,4,0.2863058429935275,2026,15127.246661943584,logistic
84,Panch Houd Mission,1,0.19085098659965183,2026,22101.91167663583,logistic
85,Mahatma Phule Smark (Samata Bhumi),4,0.3712114543465353,2026,18914.182325063437,logistic
86,Lohianagar,0,0.12369455668204413,2026,22422.613646196445,logistic
87,Ekbote Colony,10,0.3595895646641352,2026,17645.84220484628,logistic
88,Gurunanak Nagar,2,0.22037248284296665,2026,22293.609470470936,logistic
89,Wawadi Gaon,8,2.0415128970956613,2026,28560.559988426045,logistic
90,Ramtekdi,0,2.4395280364667165,2026,24738.660576745067,logistic
91,Hadapsar Gaon,21,0.7952005835970511,2026,26966.695312639844,logistic
92,Glayding Center,15,1.5919119997327165,2026,24726.604111723995,logistic
93,Sadhana Vidhylaya,20,1.9980624344720295,2026,34527.30452735637,logistic
94,Satavwadi,2,0.6857926160187855,2026,26331.31960602916,logistic
95,Kaleborate Nagar,12,3.7610042739169907,2026,54015.37458742301,logistic
