ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,64229.62049999999,45,1425.6853269566154
2,Vidhyanagar Lohagaon,37129.5265,16,2326.135159929399
3,Tingre Pumping Station,32570.501750000083,24,1358.3339887020315
4,Kalas Vishrantwadi,35709.41824999991,45,800.3502396341189
5,Nanasaheb Parulekar Vidhyalaya,26806.67199999997,18,1491.1079340888452
6,Yerwada Prizen Press,37720.04624999994,28,1353.3473063943334
7,Lohagaon Vimantal,48854.05974999999,50,985.9529684341248
8,Kharadigaon,55298.90375000014,30,1841.7869591505287
9,Kharadi Infotech Park,35341.34300000009,19,1853.3341232336604
10,Sundrabai Marathe Vidhyalaya,35292.56500000009,18,1954.9234555404043
11,Vadgaon Sheri,47712.40950000001,16,2963.162741872409
12,Ramwadi,37498.711,29,1281.819206787297
13,Agakhan Pallace,36705.64075000002,12,2985.8892582708545
14,Don Bosco  Highschool,26862.46799999997,11,2437.098393812253
15,NagpurChawl,24175.89350000006,4,5993.858806773828
16,"PhuleNagar ,Yerwada",22836.796749999925,15,1519.6269660518933
17,Netaji Subhashchandra Bose Vidhyalaya,23164.496750000013,5,4640.528666777781
18,Yerwadagaon,21683.118750000005,15,1448.1118446571174
19,Parnkuti,25643.423999999966,7,3654.8907551964294
20,YerwadaHotmix Plant,26682.907250000037,0,28264.211565000005
21,Deccon Collage,25929.240750000008,19,1363.3052397387453
22,Kamal Nayan Bajaj Udhyan,26128.376500000068,12,2187.758711041857
23,Setki Mahavidhyalaya,22847.193249999928,20,1137.6870295822787
24,Sanjay Gandhi Rugnalya,25928.71875000005,18,1440.3432400995143
25,Bopodi,22930.118749999943,8,2866.8639009194067
26,Pune Vidhyapeeth,23611.481,20,1183.2567119190326
27,AundhGaon,26015.82750000004,13,2011.9496839475144
28,Baner-Balewadi,46175.13399999995,82,664.1066233833762
29,Sutarwadi,34849.10424999992,53,689.4789577518633
30,Pashan,35591.16349999991,40,892.3430540828715
31,Aundh I.T.I,22013.53749999999,18,1223.0384347502377
32,RajBhavan,25716.22124999998,34,753.1098936174998
33,Chaturshingi Mandir,29264.31324999997,8,3651.9609953273834
34,Model Colony,21594.98774999997,26,827.732802356626
35,Morden Collage,21254.382749999942,17,1250.6132478355246
36,P.M.C Bhavan,18436.670250000032,38,575.8010908947904
37,Dr.Nayadu Hospital,22268.79549999999,2,11332.02042097223
38,Bundgarden,20430.34775000005,4,5129.200981472233
39,Wadiya Collage,21026.275999999943,25,839.4273754605183
40,Koregaon Park,21256.76799999997,19,1126.3899510106246
41,Mundhvagaon,27675.932500000006,38,739.7761144293581
42,Magarpatta Hadapsar,59412.1260000001,16,3688.2652915334306
43,Hadapsar Indestrial Estate,42962.70249999988,13,3288.5080194455527
44,Sent Patric Town,39439.33299999991,7,5582.604133423074
45,Vikas Nagar Ghorpadi,43381.875749999854,22,1990.2131680183672
46,Dr.Babasaheb Ambedkar Udhyan,21201.189499999964,25,839.4273754605183
47,Sasoon Hospital,20427.54199999996,20,1024.4783465379207
48,Kamla Nehru Hospital,23857.749000000003,5,4731.244830694448
49,Juna Bazar,27102.77650000007,3,9600.60062438892
50,Kasba Ganpati,23119.39450000002,7,3314.6169990027033
51,Shanivarwada,19929.26399999996,12,1658.6215101962741
52,New English School(Ramanbaug),18312.58650000002,22,772.1010844380802
53,Fergussion Collage,23329.83300000001,22,1063.6675405693065
54,Dr.Homi Baba Hospital,24212.40450000001,2,12091.313315694466
55,Gokhlenagar,21212.87649999996,13,1643.5149528443228
56,Vidhi Mahavidhyalaya,22045.451999999997,29,776.5413110370372
57,Shankarrao More Vidhyalaya,26091.626250000038,1,25046.32216833334
58,RamBaug Colony,29377.746749999944,17,1730.6396113459741
59,Kishkindhanagar,42084.66224999988,4,11062.540638111113
60,Ramkrishna Parmhance Nagar,27788.735250000027,12,2327.6027951511223
61,Ved Bhavan,54968.854750000086,50,1101.8531964295134
62,Mahatma Society -Kothrud,47928.53925000001,20,2378.506278396369
63,Wanaj Compani,27175.62450000008,10,2706.8318583661285
64,Yashwantrao Chavan Natyagrha,29074.015250000022,13,2230.2018686510182
65,Idiol Colony,19056.277000000027,22,848.1134904221581
66,Dinanath Mangeshkar Rugnalaya,24846.08350000001,11,2230.0168145078555
67,Deccon Jimkhana,18542.346249999984,11,1679.0944901205044
68,RajendraNagar,18406.78574999997,18,1020.7024413917204
69,Vishrambaugwada,18238.06375000005,7,2622.8967188679753
70,Mahatama Phule Mandi,18257.34875000004,12,1530.5245972942619
71,City Post,18469.12850000005,7,2636.980665534643
