ward_no,ward_name,population,bus_stop_count,predicted_demand
1,Dhanori,55508.27781791551,45,1209.3660828806458
2,Vidhyanagar Lohagaon,32037.57387448005,16,1998.3384796112205
3,Tingre Pumping Station,28462.16551208232,24,1184.4979056985196
4,Kalas Vishrantwadi,31090.1788468116,45,676.9016718762821
5,Nanasaheb Parulekar Vidhyalaya,23294.327209561,18,1283.4338099476543
6,Yerwada Prizen Press,32924.49687910585,28,1173.853409576236
7,Lohagaon Vimantal,42594.98123067914,50,840.8204469778251
8,Kharadigaon,47806.91371666908,30,1604.1970904232257
9,Kharadi Infotech Park,30654.27634737903,19,1636.1543566373346
10,Sundrabai Marathe Vidhyalaya,30781.519562531317,18,1727.0231434768912
11,Vadgaon Sheri,41235.62054603252,16,2582.6628894224295
12,Ramwadi,32585.60158330424,29,1130.5973837966596
13,Agakhan Pallace,31838.520131964608,12,2681.3824163977856
14,Don Bosco  Highschool,23285.50837286728,11,2123.648890025214
15,NagpurChawl,21027.88617927435,4,5026.95581680611
16,"PhuleNagar ,Yerwada",19809.626881727265,15,1355.7318168361721
17,Netaji Subhashchandra Bose Vidhyalaya,20144.74267608872,5,3993.6128109793162
18,Yerwadagaon,18847.11384829814,15,1263.8943987850432
19,Parnkuti,22301.57816461054,7,3030.117624350747
20,YerwadaHotmix Plant,23095.273467045557,0,23574.6430389445
21,Deccon Collage,22506.93107619293,19,1181.488532808829
22,Kamal Nayan Bajaj Udhyan,22766.456841751045,12,1903.4325128495661
23,Setki Mahavidhyalaya,19834.823557995045,20,993.2452299236929
24,Sanjay Gandhi Rugnalya,22520.78924814021,18,1254.322887202754
25,Bopodi,19948.208601200047,8,2429.5761919023535
26,Pune Vidhyapeeth,20459.701129435947,20,1013.7524052257095
27,AundhGaon,22382.20752866743,13,1731.389922362871
28,Baner-Balewadi,40279.40668167033,82,569.801922839032
29,Sutarwadi,30228.452518453578,53,571.5440185794985
30,Pashan,30959.156130219148,40,767.366827823921
31,Aundh I.T.I,19155.773132578423,18,1062.2127547300076
32,RajBhavan,22252.44464588837,34,655.7684381798982
33,Chaturshingi Mandir,25370.53333402593,8,3057.0437295644824
34,Model Colony,18761.44514898769,26,722.9015025045215
35,Morden Collage,18480.502208601964,17,1106.7742763147446
36,P.M.C Bhavan,15877.685550140472,38,492.07624026506545
37,Dr.Nayadu Hospital,19376.24404992148,2,9920.50349913598
38,Bundgarden,17758.61743353012,4,4670.204595813082
39,Wadiya Collage,18200.819102029625,25,723.2712093672909
40,Koregaon Park,18500.659549616183,19,984.666896818211
41,Mundhvagaon,24129.597027837848,38,630.4016509071504
42,Magarpatta Hadapsar,51567.51764963499,16,3081.1574412895257
43,Hadapsar Indestrial Estate,37458.63877349255,13,2992.9002211659326
44,Sent Patric Town,34586.217678965826,7,4934.2661369516445
45,Vikas Nagar Ghorpadi,37823.990579375335,22,1714.4507563569266
46,Dr.Babasaheb Ambedkar Udhyan,18564.91107409902,25,743.7228630258547
47,Sasoon Hospital,17879.561479615455,20,893.230734132218
48,Kamla Nehru Hospital,20711.66789211373,5,4133.721536400744
49,Juna Bazar,23560.15214418606,3,8157.999688671085
50,Kasba Ganpati,20085.53048685944,7,2900.8488798786275
51,Shanivarwada,17415.942636288335,12,1411.1630353012977
52,New English School(Ramanbaug),15461.940391722128,22,659.9826313665722
53,Fergussion Collage,20308.52107182928,22,929.6171697377156
54,Dr.Homi Baba Hospital,21026.62634546096,2,10585.278225896936
55,Gokhlenagar,18411.21134886557,13,1412.9553604692617
56,Vidhi Mahavidhyalaya,19184.749310286366,29,676.2699169292441
57,Shankarrao More Vidhyalaya,22757.638005057324,1,20971.72859850605
58,RamBaug Colony,25504.07571824516,17,1508.505645492574
59,Kishkindhanagar,36672.50247393787,4,9461.901749486866
60,Ramkrishna Parmhance Nagar,24367.705618568358,12,2023.2052766300983
61,Ved Bhavan,47255.10650640474,50,943.9334431005319
62,Mahatma Society -Kothrud,41631.20836343664,20,2035.2004141045602
63,Wanaj Compani,23679.83635645801,10,2361.3554251897904
64,Yashwantrao Chavan Natyagrha,25224.39261167281,13,1943.586001605489
65,Idiol Colony,16629.80633673365,22,756.2727987308818
66,Dinanath Mangeshkar Rugnalaya,21526.78036937636,11,1968.39669370581
67,Deccon Jimkhana,16263.19469703748,11,1453.3833299237917
68,RajendraNagar,15948.236243690248,18,886.0300749435571
69,Vishrambaugwada,15669.812970931298,7,2236.056833419272
70,Mahatama Phule Mandi,13545.733161557591,12,1143.2655040144077
71,City Post,16051.542616388138,7,2251.5594404790304
72,Ganeshpeth Gurudwara,18734.988638906525,12,1532.3400069658164
73,Tilak Aaurved Mahavidhyalaya,20098.12882499333,5,3993.6128109793162
74,Rajewadi,19635.769815479594,2,9920.50349913598
75,Harkanagar,19240.18199807548,4,4772.322911953322
76,Jonral Arunkumar vaidya Stedium,21989.13937889009,2,11169.546577283278
77,Doke Talim,21757.329957226524,7,3039.896422188258
78,Swami Samarth Mandir Ganesh peth,18893.727699393527,3,6371.592194812531
79,Dr.Kotnis Davakhana,17268.54208012183,7,2429.1316815193727
80,Renuka Swarup Prashala,17192.952051318494,7,2429.1316815193727
81,S.P.Collage,16719.254537484263,23,724.0957231874709
82,Subhashnagar,17670.429066592893,7,2447.883932921632
83,Ghorpade Udhyan,15807.134856590692,4,3939.5662235435634
84,Panch Houd Mission,23095.273467045557,1,20971.72859850605
85,Mahatma Phule Smark (Samata Bhumi),19764.27286444527,4,4978.704906066713
86,Lohianagar,23430.389261407003,0,23715.269646950324
87,Ekbote Colony,18438.92769276013,10,1846.2611020951174
88,Gurunanak Nagar,23295.58704337439,2,11756.89736489334
89,Wawadi Gaon,29844.20320536996,8,3790.040951423526
90,Ramtekdi,25850.530016927103,0,24341.088595620917
91,Hadapsar Gaon,28178.70290406981,21,1378.5145574002916
92,Glayding Center,25837.93167879321,15,1729.5517269678596
93,Sadhana Vidhylaya,36079.12074783169,20,1811.4506335464605
94,Satavwadi,27514.770484413857,2,13664.009765839035
95,Kaleborate Nagar,56443.07450745008,12,4702.991015979895
96,Mahamodwadi,55771.583084913786,37,1506.5891509575004
97,Mahadji Shinde Chatri,35893.92517726352,13,2738.0438353676595
98,Salasbari Park,23068.816956964387,3,8082.479331386293
99,Tilak Maharashtra Vidhyapeeth,23274.169868546775,19,1192.8721428114138
100,Parvati Darshan,25548.16990171377,32,809.9859190171566
101,Parvatigaon,20647.416367630896,5,4133.721536400744
102,Paravati Jal kendra,18551.052902151743,5,3819.810370763257
103,Dandekar Pul-Dattawadi,21077.019697996515,14,1504.9708835278593
104,Pu.La.Deshpande Udhyan,29478.851399487176,32,930.4220635236813
105,Mejor Thathwade Udhyan,22493.07290424565,26,860.7882670542645
106,Kothrud Gaon,25187.85743108454,8,3057.0437295644824
107,Happy Colony,23518.57762834423,5,4698.5447904130615
108,Dahanukar Colony,16159.888324339589,13,1259.1758331260612
109,Warje Jal Shudhikaran Prakalpa,44599.376827780914,37,1189.6848172862228
110,Popularnagar Warje,49071.78686531155,47,1032.5239057198226
111,Warje  Malwadi,32950.953389187016,0,26953.792885656436
112,Maharshi karve Nagar,30855.849757521257,2,15125.832036714446
