ward_no,ward_name,bus_stop_count,area_sqkm,year,population,model
1,Dhanori,45,11.780877979463622,2030,70436.52717970223,cagr
2,Vidhyanagar Lohagaon,16,3.59473216656065,2030,40653.674221058274,cagr
3,Tingre Pumping Station,24,1.2391248802769839,2030,36116.704994185944,cagr
4,Kalas Vishrantwadi,45,5.614040603473604,2030,39451.4892814501,cagr
5,Nanasaheb Parulekar Vidhyalaya,18,0.8663572188059991,2030,29559.041932653065,cagr
6,Yerwada Prizen Press,28,5.276719961460563,2030,41779.12395175528,cagr
7,Lohagaon Vimantal,50,13.83277263943663,2030,54050.362776798276,cagr
8,Kharadigaon,30,4.761967203615412,2030,60663.97859482888,cagr
9,Kharadi Infotech Park,19,2.9569376526186595,2030,38898.35631721549,cagr
10,Sundrabai Marathe Vidhyalaya,18,0.9933107771949296,2030,39059.81998596605,cagr
11,Vadgaon Sheri,16,1.5126387118357376,2030,52325.41922648283,cagr
12,Ramwadi,29,1.8183727106671983,2030,41349.08705181566,cagr
13,Agakhan Pallace,12,4.58290424869691,2030,40401.0874917257,cagr
14,Don Bosco  Highschool,11,1.202557615248364,2030,29547.85138135352,cagr
15,NagpurChawl,4,0.4213511114774019,2030,26683.070248670218,cagr
16,"PhuleNagar ,Yerwada",15,2.3852632266516585,2030,25137.175519147473,cagr
17,Netaji Subhashchandra Bose Vidhyalaya,5,0.21162318951022907,2030,25562.41646853015,cagr
18,Yerwadagaon,15,0.3515840698570998,2030,23915.80677731151,cagr
19,Parnkuti,7,0.3911478359424099,2030,28299.305586361523,cagr
20,YerwadaHotmix Plant,0,0.20753709848459767,2030,29306.455203320496,cagr
21,Deccon Collage,19,3.0116374104306796,2030,28559.88556662234,cagr
22,Kamal Nayan Bajaj Udhyan,12,1.556968579476571,2030,28889.207504866066,cagr
23,Setki Mahavidhyalaya,20,2.661814064054194,2030,25169.148522860458,cagr
24,Sanjay Gandhi Rugnalya,18,1.5275886601600461,2030,28577.470718664477,cagr
25,Bopodi,8,0.5453283685742135,2030,25313.027039568882,cagr
